,Name,Position,Full_URL
0,Jayden Daniels,LSU,https://walterfootball.com/scoutingreport2024jdaniels.php
1,Sam Hartman,Notre Dame,https://walterfootball.com/scoutingreport2024shartman.php
2,Drake Maye,North Carolina,https://walterfootball.com/scoutingreport2024dmaye.php
3,J.J. McCarthy,Michigan,https://walterfootball.com/scoutingreport2024jjmccarthy.php
4,Joe Milton,Tennessee,https://walterfootball.com/scoutingreport2024jmilton.php
5,Bo Nix,Oregon,https://walterfootball.com/scoutingreport2024bnix.php
6,Michael Penix Jr.,Washington,https://walterfootball.com/scoutingreport2024mpenix.php
7,Spencer Rattler,South Carolina,https://walterfootball.com/scoutingreport2024srattler.php
8,Caleb Williams,USC,https://walterfootball.com/scoutingreport2024cwilliams.php
9,Braelon Allen,Wisconsin,https://walterfootball.com/scoutingreport2024ballen.php
10,Trey Benson,Florida State,https://walterfootball.com/scoutingreport2024tbenson.php
11,Jonathon Brooks,Texas,https://walterfootball.com/scoutingreport2024jbrooks.php
12,Blake Corum,Michigan,https://walterfootball.com/scoutingreport2024bcorum.php
13,Ray Davis,Kentucky,https://walterfootball.com/scoutingreport2024rdavis.php
14,Audric Estime,Notre Dame,https://walterfootball.com/scoutingreport2024aestime.php
15,Bucky Irving,Oregon,https://walterfootball.com/scoutingreport2024birving.php
16,Will Shipley,Clemson,https://walterfootball.com/scoutingreport2024wshipley.php
17,Jermaine Burton,Alabama,https://walterfootball.com/scoutingreport2024jburton.php
18,Keon Coleman,Florida State,https://walterfootball.com/scoutingreport2024kcoleman.php
19,Malachi Corley,Western Kentucky,https://walterfootball.com/scoutingreport2024mcorley.php
20,Troy Franklin,Oregon,https://walterfootball.com/scoutingreport2024tfranklin.php
21,Marvin Harrison,Ohio State,https://walterfootball.com/scoutingreport2024mharrison.php
22,Xavier Legette,South Carolina,https://walterfootball.com/scoutingreport2024xlegette.php
23,Ladd McConkey,Georgia,https://walterfootball.com/scoutingreport2024lmcconkey.php
24,Jalen McMillan,Washington,https://walterfootball.com/scoutingreport2024jmcmillan.php
25,Adonai Mitchell,Texas,https://walterfootball.com/scoutingreport2024amitchell.php
26,Malik Nabers,LSU,https://walterfootball.com/scoutingreport2024mnabers.php
27,Rome Odunze,Washington,https://walterfootball.com/scoutingreport2024rodunze.php
